Real	Imag	frequency
		frequency [kHz]
1243,991	1265,196	-1181,641
38,217	1680,610	-1186,523
968,990	-641,832	-1191,406
-101,707	-120,053	-1196,289
-274,556	1900,736	-1201,172
1068,405	-1278,184	-1206,055
614,592	-2177,060	-1210,938
443,218	763,278	-1215,820
-1042,405	412,152	-1220,703
438,130	1757,495	-1225,586
-288,553	-393,615	-1230,469
311,554	59,545	-1235,352
-155,398	-1408,969	-1240,234
-1590,259	-965,625	-1245,117
