Real	Imag	frequency
		frequency [kHz]
-534,000	-455,000	496,000
1503,000	1581,000	497,000
-42,000	2417,000	498,000
1460,000	1085,000	499,000
1515,000	-712,000	500,000
-295,000	-428,000	501,000
321,000	-2018,000	502,000
-1506,000	-2787,000	503,000
-353,000	397,000	504,000
698,000	-1697,000	505,000
-480,000	2939,000	506,000
763,000	2097,000	507,000
2224,000	16,000	508,000
2347,000	1463,000	509,000
-1225,000	178,000	510,000
0,000	0,000	511,000
